,completeness,number_of_cds,type,length
MarDB_Enterococcus_faecalis_P8-1,99.63,3063,WGS,3146745
MarDB_Candidatus_Pelagibacter_ubique_SCGC_AAA795-O20,78.7,1124,SAG,1009143
MarDB_Marinilactibacillus_piezotolerans_strain_DSM_16108,98.36,2475,WGS,2554690
MarDB_Thioclava_sp_11_10-0-13,99.09,3454,WGS,3653331
MarDB_Halieaceae_bacterium_UBA6060,96.4,3516,MAG,3790907
MarDB_Marinomonas_sp_TW1,100.0,3515,WGS,3772874
MarDB_Blastococcus_sp_GP-S2-8,98.58,4526,WGS,4631862
MAGsDB_DDNW01,76.64,3320,MAG,3148815
MAGsDB_DDEL01,82.81,2729,MAG,3230567
MarDB_Proteobacteria_bacterium_strain_DOLZORAL124_45_7,90.57,2367,MAG,2534106
MarDB_GCA_003660235.1_ASM366023v1,99.18,3822,MAG,4253989
MAGsDB_TARA_ION_MAG_00017,87.37,3276,MAG,3389873
MAGsDB_DJBX01,98.39,1559,MAG,1724544
MAGsDB_DBBU01,87.89,2337,MAG,2579418
MarDB_Sphingorhabdus_marina_DSM_22363,99.59,3418,WGS,3547929
MarDB_Alteromonas_sp_P0213,99.66,3537,WGS,3914585
ProGenomes_1403537_PRJNA221129,97.38,2992,WGS,2892465
MAGsDB_PAFH01,75.47,965,MAG,857302
MAGsDB_PABV01,78.93,1629,MAG,1912832
MAGsDB_NYWG01,88.68,4124,MAG,4535755
MarDB_Aquimarina_sp_22II-S11-z7,99.62,4975,WGS,5687995
MarRef_Tenacibaculum_jejuense_KCTC_22618,99.66,4038,WGS,4614879
MarDB_Thalassospira_australica_NP3b2,100.0,3898,WGS,4270335
MarDB_Enterococcus_aquimarinus_strain_DSM_17690,98.51,2330,WGS,2512431
MAGsDB_TARA_ANE_MAG_00028,89.74,1344,MAG,1236140
MarDB_Gemmatimonas_sp_SG8_28,75.86,3676,WGS,3856508
MarDB_Marine_Group_III_euryarchaeote_CG-Epi1,79.6,1107,MAG,1177166
MarDB_GCA_003527405.1_ASM352740v1,86.13,1509,MAG,1468635
MAGsDB_PBWG01,77.06,1520,MAG,1676810
MarDB_Desulfuromusa_kysingii_strain_DSM_7343,99.35,3364,WGS,3744895
MarDB_Prochlorococcus_sp_AG-673-L20,82.61,1683,SAG,1421661
MarRef_Woeseia_oceani_strain_XK5,90.99,3629,WGS,4059892
MAGsDB_DBUW01,85.59,1857,MAG,1717539
MarDB_Flavobacteriaceae_bacterium_strain_NORP20,98.02,3454,MAG,3822399
MarDB_GCA_003635255.1_ASM363525v1,87.2,4635,MAG,5377724
MarDB_GCF_003260265.1_ASM326026v1,98.73,3824,WGS,3819295
MarDB_GCA_003663695.1_ASM366369v1,83.26,1715,MAG,1363487
MarDB_GCF_003584135.1_ASM358413v1,99.01,3925,WGS,4331673
MarDB_Olleya_sp_VCSM12,99.67,3198,WGS,3491786
ProGenomes_319795_PRJNA13423,98.31,2393,WGS,2467205
MarDB_Synechococcus_sp_XM-24,100.0,2600,MAG,2376968
MarRef_Methanohalophilus_halophilus_strain_Z-7982,99.51,2038,WGS,2022960
MarDB_Pseudomonas_moraviensis_strain_UCD-KL30,99.66,5444,WGS,6100466
MarDB_Rhodobacterales_bacterium_56_14_T64,98.5,4313,MAG,4335868
MarDB_Candidatus_Marinimicrobia_bacterium_strain_NORP68,90.05,1677,MAG,1828275
MAGsDB_TARA_ANE_MAG_00074,84.31,2241,MAG,2017898
MarRef_Sulfitobacter_sp_AM1-D1,98.88,4555,WGS,4691011
MAGsDB_TARA_PSE_MAG_00032,87.65,2680,MAG,2853715
MarRef_Marinobacter_similis_A3d10,94.58,4643,WGS,3975897
MarDB_Microbacterium_enclense,98.99,3368,WGS,3666505
MarDB_Mycobacterium_marinum_Europe,99.88,5308,WGS,6029341
MarDB_GCF_003386195.1_ASM338619v1,99.01,2981,WGS,3508581
MarDB_Streptomyces_diastaticus_strain-sea_A18,100.0,7982,WGS,7713909
MarDB_Pseudovibrio_sp_Alg231-02_strain_Pseudovibrio_sp_Alg231_02,99.94,5378,WGS,5963068
MarRef_Formosa_haliotis_strain_LMG_28520,99.01,3736,WGS,4305802
MarDB_Deferrisoma_camini,98.32,3733,WGS,4236552
MarRef_Lysobacter_maris,99.77,3447,WGS,4018049
MarDB_Vibrio_nereis,99.86,3760,WGS,4096631
MarDB_GCA_003662705.1_ASM366270v1,93.15,2154,MAG,1599602
MAGsDB_PCAK01,97.44,3045,MAG,3311738
MarRef_Flavobacterium_sp_MEBiC07310,98.22,3285,WGS,3441304
MarDB_GCA_003660745.1_ASM366074v1,76.33,2071,MAG,1684774
MarDB_Oceanicaulis_sp_HTCC2633,99.84,3006,WGS,3172052
MarDB_Spirochaetales_bacterium_strain_SZUA-352,97.04,2598,MAG,2643043
MAGsDB_DAME01,81.97,1564,MAG,1869267
MAGsDB_DEIL01,89.47,4059,MAG,4214536
MarDB_Candidatus_Thorarchaeota_archaeon_AB_25,90.12,2957,MAG,2855655
MarDB_Rickettsiales_bacterium_strain_NORP64,91.07,1891,MAG,1905515
ProGenomes_595536_PRJNA41067,100.0,4482,WGS,4962262
MarDB_Mesoflavibacter_aestuarii_strain_KCTC_32269,99.67,2637,WGS,2915806
MAGsDB_DBVB01,78.93,1494,MAG,1639029
MAGsDB_TARA_PSW_MAG_00028,99.2,3540,MAG,3968077
MarDB_Rubrobacter_aplysinae,97.81,3158,WGS,3187462
MAGsDB_DJYU01,88.1,1910,MAG,2039975
ProGenomes_1341181_PRJNA206419,99.65,3121,WGS,3466544
MAGsDB_NHBQ01,95.22,4738,MAG,6566030
MarDB_Oceanicoccus_sp_KOV_DT_Chl,97.79,4815,WGS,4825034
MAGsDB_TARA_ANE_MAG_00035,83.33,1011,MAG,866617
ProGenomes_1233951_PRJNA255519,100.0,3681,WGS,3975884
MAGsDB_NZNM01,93.92,3377,MAG,3684756
MAGsDB_TARA_RED_MAG_00018,89.05,1176,MAG,1103886
MAGsDB_DKOK01,86.15,1872,MAG,1986951
MAGsDB_PBDY01,80.99,1525,MAG,1506851
MAGsDB_DFBK01,85.9,2287,MAG,2243134
MarDB_Pseudomonas_sp_PI11,99.84,4466,WGS,4884839
MarDB_GCF_003315015.1_ASM331501v1,98.7,2270,WGS,2503142
MarDB_GCA_003649205.1_ASM364920v1,98.53,2428,MAG,2066741
MarDB_Loktanella_hongkongensis,98.59,3097,WGS,3188841
ProGenomes_1312852_PRJNA245240,94.44,2386,WGS,2660928
MarRef_Cyanothece_sp_ATCC_51142,99.96,5091,WGS,5460378
MAGsDB_NZMB01,98.7,3437,MAG,3599778
MAGsDB_PBOB01,94.51,2632,MAG,2689638
MarDB_Altererythrobacter_xiamenensis_CGMCC_1_12494,99.14,2982,WGS,3082408
MAGsDB_PBLO01,91.94,2600,MAG,2717702
MarDB_GCA_003661905.1_ASM366190v1,78.83,1700,MAG,1397290
MarDB_Flammeovirgaceae_bacterium_UBA6059,98.51,5815,MAG,6918155
MarRef_Flexistipes_sinusarabici_DSM_4947,99.14,2380,WGS,2526591
MarDB_GCA_003660555.1_ASM366055v1,80.52,1469,MAG,1295439
MarDB_Yangia_pacifica_strain_DSM_26894,99.3,5756,WGS,6143659
MarDB_marine_gamma_proteobacterium_HTCC2080,99.38,3172,WGS,3576082
MarDB_Mangrovibacterium_marinum_strain_DSM_28823,100.0,3653,WGS,4598241
MarDB_Silicimonas_algicola_strain_DSM_103371,98.64,4322,WGS,4337735
MarRef_Vibrio_alginolyticus_K08M4,99.96,4208,WGS,4886292
MAGsDB_TARA_ANE_MAG_00020,87.29,1362,MAG,1274336
MarDB_GCA_003646955.1_ASM364695v1,91.61,3801,MAG,3642536
MAGsDB_NZBB01,77.57,940,MAG,857738
MarDB_GCA_003649495.1_ASM364949v1,86.9,2130,MAG,1755417
MAGsDB_PAWW01,75.91,1726,MAG,1809684
MarDB_Dyadobacter_jejuensis_strain_DSM_100346,99.7,4751,WGS,5761522
MarRef_Shewanella_sediminis_HAW-EB3,99.84,4655,WGS,5517675
MarDB_Gramella_portivictoriae,99.6,2989,WGS,3269399
MarRef_Psychrobacter_sp_PRwf-1,99.93,2441,WGS,2995050
MAGsDB_PBOD01,93.59,5315,MAG,5850589
MarRef_Pyrodictium_delaneyi_strain_Su06,99.37,2107,WGS,2023837
MarDB_Desulfospira_joergensenii,99.35,5407,WGS,6119471
MarDB_GCA_003650505.1_ASM365050v1,82.74,1319,MAG,1145954
MarRef_Hahella_chejuensis_KCTC_2396,99.86,6388,WGS,7215268
MAGsDB_DCMZ01,97.32,3358,MAG,3542931
MarDB_Shimia_sp_SK013,99.57,3999,WGS,4049809
MarDB_Alphaproteobacteria_bacterium_MarineAlpha10_Bin2,83.2,2650,MAG,2438099
MarDB_Candidatus_Omnitrophica_bacterium_strain_SZUA-121,75.46,1805,MAG,1550957
MarDB_Pseudoalteromonas_luteoviolacea_ATCC_29581,99.89,3522,WGS,4046271
MarDB_Marinobacter_adhaerens_strain_PBVC038,99.87,3897,WGS,4246509
MAGsDB_DFVG01,98.32,2708,MAG,2877924
MarRef_Rivularia_sp_PCC_7116,99.78,6848,WGS,8728774
MarDB_Janthinobacterium_sp_BJB303,99.55,5595,WGS,6275771
MarDB_Actinobacteria_bacterium_BACL4_MAG-120820-bin23,76.9,1342,MAG,1127842
MAGsDB_TARA_SOC_MAG_00007,78.26,2679,MAG,2918716
ProGenomes_755731_PRJNA81613,100.0,4015,WGS,4613747
MarDB_Flavobacteriales_bacterium_UBA6057,99.46,4189,MAG,5325570
MAGsDB_TARA_MED_MAG_00034,89.36,2020,MAG,1959070
MAGsDB_TARA_ANE_MAG_00001,88.22,1932,MAG,1826698
MarDB_Bacteroidetes_bacterium_strain_Sum29NL08_bin121,93.75,1583,MAG,1557980
MarDB_Gammaproteobacteria_bacterium_strain_SZUA-194,78.95,2593,MAG,2102945
ProGenomes_351607_PRJNA16097,98.75,2200,WGS,2443540
MarDB_Psychromonas_ossibalaenae_ATCC_BAA-1528,100.0,4479,WGS,5204312
MAGsDB_DDIH01,94.42,1861,MAG,1777858
MAGsDB_TARA_ANW_MAG_00035,84.83,2387,MAG,2657195
MarDB_Loktanella_sp_Alg231-35_strain_Loktanella_sp_Alg231_35,99.09,3927,WGS,3914133
MarRef_Paracoccus_sp_BM15,99.09,3890,WGS,3954736
MarDB_Synechococcus_sp_CB0101,99.73,2997,WGS,2686396
MAGsDB_TARA_MED_MAG_00013,91.21,1394,MAG,1262638
MarDB_gamma_proteobacterium_HTCC2207,98.33,2347,WGS,2634267
MarDB_Streptomyces_sp_CNT372,99.84,5595,WGS,6456451
MarDB_Roseovarius_sp_MCTG156_2b,99.9,5087,WGS,5113783
MarDB_Williamsia_marianensis_strain_DSM_44944,99.43,5262,WGS,5569331
MarDB_Streptomyces_sp_CB02414,100.0,7199,WGS,7987505
MAGsDB_DEAW01,95.87,3492,MAG,4362043
MAGsDB_DCLA01,96.06,6771,MAG,7982088
MAGsDB_TARA_PSW_MAG_00014,89.74,1417,MAG,1388985
MarDB_Desulfoluna_spongiiphila_strain_AA1,99.35,5244,WGS,6535107
ProGenomes_312153_PRJNA16679,99.87,2135,WGS,2159490
MarRef_Pyrolobus_fumarii_1A,99.05,2037,WGS,1843268
MAGsDB_DAIJ01,84.93,1312,MAG,1494957
MarRef_Pseudoalteromonas_agarivorans,100.0,4001,WGS,4557927
ProGenomes_525898_PRJNA29529,99.87,2285,WGS,2306351
MarDB_Teredinibacter_sp_991H.S.0a.06,100.0,4300,WGS,5279032
MarDB_Vibrio_sagamiensis_NBRC_104589,98.77,4208,WGS,4557581
MarDB_Flavobacterium_columnare_ATCC_23463,99.65,2818,WGS,3116347
MarDB_Vitellibacter_sp_D-24,98.48,2963,WGS,3147269
MarDB_Vibrio_splendidus_MARa,99.8,4752,WGS,5381868
MarDB_Albimonas_donghaensis_strain_DSM_17890,100.0,4259,WGS,5014395
MarRef_Pseudoalteromonas_piscicida_DE2-B,99.24,4723,WGS,5317048
MAGsDB_DHZO01,93.94,3577,MAG,3660614
MarDB_Methanothermococcus_thermolithotrophicus_DSM_2095,100.0,1704,WGS,1686930
MarDB_Prochlorococcus_sp_AG-459-N19,76.81,1553,SAG,1329883
ProGenomes_577650_PRJNA32993,99.15,3332,WGS,3851869
MarDB_bacterium_BMS3Abin03,96.09,3385,MAG,3761145
MarDB_Novosphingobium_sp_PC22D,99.42,4703,WGS,5024522
MAGsDB_TARA_PSW_MAG_00090,83.76,2030,MAG,2079206
MarDB_Arsukibacterium_ikkense_GCM72,99.33,3744,WGS,4127745
MarDB_Micromonospora_avicenniae_DSM_45758,99.47,6046,WGS,6823298
MarDB_Vibrio_ponticus_CAIM_1731,98.32,4187,WGS,4747966
MarDB_Methanosaeta_harundinacea_strain_UBA1,98.85,2466,MAG,2512329
MarDB_Vibrio_ichthyoenteri_ATCC_700023,99.38,4519,WGS,4641087
MarDB_Bacillus_sp_JCM_19047,94.42,5350,WGS,4047213
MarDB_Defluviimonas_indica_strain_DSM_24802,99.75,4109,WGS,4280694
MarDB_Gammaproteobacteria_bacterium_42_54_T18,97.04,5848,MAG,6664629
MarDB_Algiphilus_aromaticivorans,98.82,3561,WGS,3805682
MarDB_Octadecabacter_ascidiaceicola_CECT_8868,99.39,3303,WGS,3233060
MarDB_GCA_003539805.1_ASM353980v1,96.28,4975,MAG,5112265
MAGsDB_DKQG01,95.42,3082,MAG,3058580
MarDB_GCF_003448965.1_ASM344896v1,99.9,5165,WGS,5745566
MarDB_Prochlorococcus_sp_AG-402-M23,84.38,1906,SAG,1682785
MarDB_Mangrovicoccus_ximenensis_strain_T1lg56,83.38,6156,WGS,5971869
MarDB_Hyphomonas_sp_BH-BN04-4,99.35,3767,WGS,3857635
MAGsDB_DEAD01,91.25,1889,MAG,1873976
MarDB_Candidatus_Endobugula_sertula_strain_AB1-4,96.19,3089,MAG,3350349
MarRef_Methanoculleus_marisnigri_JR1,99.35,2481,WGS,2478102
MarDB_Chloroflexi_bacterium_strain_SZUA-526,83.84,3176,MAG,3122135
MarDB_GCA_003646305.1_ASM364630v1,89.56,2591,MAG,2448423
MarDB_Streptomyces_sp_HNS054,99.57,6713,WGS,7452853
MarDB_Pontibacillus_litoralis,99.33,3210,WGS,3204237
MAGsDB_DEAM01,88.95,1702,MAG,1849998
MarRef_Vibrio_alginolyticus_J207_MMP03996326,100.0,4709,WGS,5268677
MAGsDB_PARL01,80.12,1066,MAG,1122373
MarDB_Enhygromyxa_salina_strain_SWB007,95.81,8338,WGS,10602692
MarDB_Aeromonas_piscicola,100.0,4839,WGS,5177971
MAGsDB_DIAJ01,100.0,3048,MAG,3399404
MarDB_Halomonas_sp_TG39a,100.0,4526,WGS,4979194
MAGsDB_DEBI01,84.26,2067,MAG,2266138
MAGsDB_PAYI01,95.89,2245,MAG,2507259
MarDB_Rhodobacteraceae_bacterium_EL129_strain_unclassified_Rhodobacteraceae_strain_EL129,99.6,3867,WGS,3937835
MarRef_Staphylothermus_marinus_F1,98.73,1659,WGS,1570486
MAGsDB_DGPB01,98.15,2010,MAG,2066980
MarRef_Synechococcus_sp_WH_8020,99.73,2917,WGS,2661167
MarDB_GCF_003814515.1_ASM381451v1,99.43,2478,WGS,2485369
MarDB_Aeromicrobium_sp_REDSEA-S42_B4,94.04,3351,MAG,3465752
MarDB_Gordonia_amicalis_CCMA-559,99.76,4707,WGS,5179575
MarDB_Marinibacterium_profundimaris_22II1-22F33,99.36,5643,WGS,6152202
MarDB_Desulfovibrio_bizertensis_DSM_18034,100.0,2930,WGS,3266412
MarRef_Aciduliprofundum_sp_MAR08-339,100.0,1534,WGS,1437091
MarDB_Vibrio_jasicida_090810a,100.0,4884,WGS,5494663
MarDB_Prochlorococcus_sp_AG-347-C10,75.07,1492,SAG,1258105
MAGsDB_TARA_RED_MAG_00006,97.22,3566,MAG,3754020
MarDB_Salinispora_pacifica_CNT124,99.06,4724,WGS,5164131
MarDB_Thalassiobium_sp_R2A62,99.02,3567,WGS,3487926
MarDB_Pseudoruegeria_aquimaris_CECT_7680,98.69,3653,WGS,3691014
MAGsDB_NZKE01,80.17,1794,MAG,1858529
MAGsDB_TARA_RED_MAG_00039,93.4,1829,MAG,1880932
MarRef_Haloferax_mediterranei_ATCC_33500,99.25,3954,WGS,3904708
MarDB_Algibacter_sp_SK-16,99.67,4020,WGS,4640371
MarDB_Nitratiruptor_tergarcus_DSM_16512,99.59,1977,WGS,1929433
MarDB_GCF_003590715.1_ASM359071v1,99.32,3584,WGS,3602847
MarDB_Prochlorococcus_sp_AG-347-L19,82.52,1493,SAG,1303229
MarRef_Vibrio_vulnificus_CECT_4999,100.0,4597,WGS,5163135
MarRef_Phaeobacter_sp_LSS9,99.42,3770,WGS,4038237
MarDB_Bacteriovoracaceae_bacterium_strain_SZUA-425,78.12,2407,MAG,2592164
MarDB_GCA_003647375.1_ASM364737v1,91.94,5325,MAG,5413608
MarDB_Streptomyces_mangrovisoli_MUSC149T,100.0,8392,WGS,9299676
MAGsDB_TARA_PSE_MAG_00027,95.39,3536,MAG,3567538
MarDB_Salinimicrobium_sediminis_strain_CGMCC_1_12641,99.62,3152,WGS,3482289
MarDB_Maribacter_polysiphoniae_strain_DSM_23514,99.67,4503,WGS,5129962
MarDB_Thioclava_arenosa_strain_CAU_1312,99.09,2726,WGS,2793629
ProGenomes_1304874_PRJNA195816,98.31,2811,WGS,3223212
MarDB_GCA_003649285.1_ASM364928v1,75.62,1812,MAG,1485292
MarDB_GCF_003318235.1_ASM331823v1,99.39,3699,WGS,3658284
MAGsDB_PANA01,92.53,1532,MAG,1687414
MarDB_Sinimarinibacterium_flocculans_strain_DSM_104150,100.0,4026,WGS,4401070
MAGsDB_DFLT01,99.57,2971,MAG,3111287
MarRef_Parvularcula_bermudensis_HTCC2503,97.23,2683,WGS,2902644
MAGsDB_TARA_MED_MAG_00036,93.42,2038,MAG,2210280
MarDB_Vibrio_genomo_sp_9ZB36,99.45,3809,WGS,4263999
MAGsDB_DBBQ01,98.16,1976,MAG,2092294
MAGsDB_PABG01,77.45,2826,MAG,2897896
ProGenomes_1238425_PRJNA176225,93.82,3828,WGS,3594539
MAGsDB_PBLL01,78.21,1554,MAG,1549675
MarDB_GCA_003649235.1_ASM364923v1,82.66,2262,MAG,1812403
MarDB_Candidatus_Altiarchaeales_archaeon_WOR_SM1_86-2,76.88,2404,MAG,2087969
MarDB_Arenibacter_palladensis_strain_DSM_17539,99.67,4580,WGS,5551911
MAGsDB_DACG01,92.16,2102,MAG,1849604
MarDB_Hyunsoonleella_jejuensis_strain_DSM_21035,99.01,2974,WGS,3480312
MarDB_Halomonas_campaniensis_SK03,93.97,4483,WGS,4809660
MarDB_Aliivibrio_sifiae_strain_ATCC_33715,99.63,3937,WGS,4462628
MAGsDB_DGLR01,99.1,3977,MAG,4224324
MarDB_Paraglaciecola_arctica_strain_SZUA-71,89.55,3974,MAG,3675592
MarRef_Streptococcus_thermophilus_APC151,99.78,1950,WGS,1839134
MarDB_SAR92_bacterium_BACL16_MAG-120619-bin48,97.78,2400,MAG,2527477
MarDB_Ornithinimicrobium_sp_CNJ-824,93.87,3470,WGS,3445056
MarDB_Kordia_algicida_OT-1,99.48,4431,WGS,5033130
MarDB_Oceanicaulis_alexandrii,99.84,2834,WGS,3018427
MAGsDB_DFDL01,76.56,1435,MAG,1334176
MAGsDB_PABP01,92.73,5881,MAG,6701443
MarRef_Methanocaldococcus_sp_JH146,99.52,1676,WGS,1607557
MarDB_Flavobacteriales_bacterium_33_180_T64,99.67,3329,MAG,3752198
MAGsDB_TARA_ANW_MAG_00004,99.5,2578,MAG,2825991
MarRef_Campylobacter_lari_strain_Slaughter_Beach,98.78,1573,WGS,1563033
MarDB_Pelagibacterales_bacterium_MED-G42,77.36,908,MAG,830828
MarDB_Salegentibacter_sp_Hel_I_6,99.43,3700,WGS,4212162
MarRef_Hyphomicrobium_nitrativorans_NL23,98.88,3423,WGS,3653838
MarRef_Formosa_agariphila_KMM_3901,99.01,3589,WGS,4228351
MAGsDB_DDNM01,95.23,3055,MAG,3712215
ProGenomes_715226_PRJNA43745,98.76,4722,WGS,5411525
MAGsDB_DJLG01,79.0,2095,MAG,2070843
ProGenomes_443144_PRJNA20729,100.0,4102,WGS,4745806
MarDB_Sulfitobacter_mediterraneus_strain_DSM_12244,99.89,4005,WGS,4099776
MarDB_Pelagibacteraceae_bacterium_AG-390-O04,91.98,1147,SAG,1056881
MarDB_Pseudorhodobacter_ferrugineus,99.55,3431,WGS,3430275
MAGsDB_DAVR01,99.35,2665,MAG,2274654
MAGsDB_TARA_ANW_MAG_00032,78.07,2089,MAG,2005933
MarDB_Haloplanus_vescus_strain_CGMCC_18712,98.8,2901,WGS,2776860
MAGsDB_NZGX01,78.11,1700,MAG,1711098
MAGsDB_DJIA01,98.19,2460,MAG,2511452
MarRef_Reinekea_forsetii_strain_Hel1_31_D35,99.16,3293,WGS,3660060
MAGsDB_DEBC01,94.35,4184,MAG,4077666
MarDB_Oceaniovalibus_sp_YLY08,99.29,3842,WGS,3906563
MarDB_Prochlorococcus_sp_AG-436-O11,75.5,1473,SAG,1279919
MarDB_Leeuwenhoekiella_marinoflava_DSM_3653,99.54,4088,WGS,4733425
MarDB_Phaeobacter_sp_CECT_5382,99.82,3899,WGS,4112936
MarDB_Clostridia_bacterium_strain_SZUA-373,95.62,3171,MAG,3395220
ProGenomes_1385935_PRJNA215004,98.64,7221,WGS,8064168
MarDB_Ulvibacter_litoralis_strain_DSM_16195,99.62,3484,WGS,3821927
MarDB_Aliiroseovarius_sediminilitoris_strain_DSM_29439,99.49,3328,WGS,3413459
MarRef_Desulfovibrio_piezophilus_strain_C1TLV30,100.0,3332,WGS,3646099
MAGsDB_DLRH01,86.28,4555,MAG,4350667
MarDB_Deltaproteobacteria_bacterium_strain_G37SeepSRB2,93.83,2452,MAG,2549842
MarDB_Salegentibacter_salarius_strain_KCTC_12974,99.43,3024,WGS,3317705
MarDB_Aliagarivorans_marinus,100.0,4419,WGS,4878346
MAGsDB_NZMK01,80.34,2479,MAG,2592032
MAGsDB_DGQI01,94.62,2294,MAG,2425942
MarDB_Marinifilum_fragile_JCM_15579,99.46,4161,WGS,4718482
MarDB_Melitea_salexigens_DSM_19753,100.0,3217,WGS,3435543
MAGsDB_PASJ01,85.03,1914,MAG,2235816
MarDB_Thermococcus_thioreducens_strain_OGL-20,100.0,2311,WGS,2067116
MarDB_Natrinema_sp_CBA1119,99.35,5118,WGS,5058058
MarRef_Simiduia_agarivorans_SA1,100.0,3837,WGS,4300228
MarDB_Fabibacter_misakiensis_strain_SK-8,98.75,3847,WGS,4452386
MAGsDB_PBCI01,79.87,1211,MAG,1245009
ProGenomes_414684_PRJNA18307,99.56,3937,WGS,4355543
MAGsDB_DDDX01,92.71,2151,MAG,2262236
MarDB_Clostridium_caminithermale_DSM_15212,100.0,3864,WGS,4060625
MarDB_Winogradskyella_jejuensis_strain_DSM_25330,99.34,2820,WGS,3033898
ProGenomes_1304284_PRJNA196482,98.59,2781,WGS,2788198
MAGsDB_TARA_RED_MAG_00002,96.7,1976,MAG,2177492
MarDB_Paracoccus_sp_SM22M-07,99.39,3830,WGS,3905171
MAGsDB_DEII01,95.52,3841,MAG,3932915
MarDB_Maribius_salinus_strain_DSM_26892,99.24,3438,WGS,3574416
MarDB_Rhodobacteraceae_bacterium_strain_NORP86,85.45,4068,MAG,4071297
MarDB_Marinobacter_santoriniensis,100.0,3709,WGS,4033469
MarDB_Actinomyces_marimammalium_strain_DSM_15383,98.01,1583,WGS,1842890
MarDB_Mumia_flava_strain_DSM_27763,99.22,4066,WGS,4402465
MAGsDB_DFBO01,83.36,2516,MAG,2548718
MAGsDB_NYXD01,77.95,1598,MAG,1661110
MarDB_Prochlorococcus_sp_AG-418-I20,92.66,1719,SAG,1498119
MarDB_Gammaproteobacteria_bacterium_AqS3,75.68,2521,MAG,3161575
MarRef_Polaribacter_reichenbachii_6Alg_8T,98.99,3491,WGS,4125014
MarDB_GCA_003331935.1_ASM333193v1,81.1,1572,MAG,1559587
MarDB_Synechococcus_sp_PCC_7336,100.0,4564,WGS,5066638
MAGsDB_DGCG01,91.26,3937,MAG,3997361
MarRef_Thioflavicoccus_mobilis_8321,98.67,3720,WGS,4137522
MarDB_Prochlorococcus_marinus_MIT_9314,99.73,1953,WGS,1690557
MAGsDB_TARA_MED_MAG_00011,92.32,2143,MAG,2170755
MarRef_Methylophilales_bacterium_MBRSF5,99.13,1422,WGS,1352915
MarRef_Desulfobacterium_autotrophicum_HRM2,99.35,4934,WGS,5657783
MarDB_Bacillus_marisflavi,99.34,4356,WGS,4312089
MAGsDB_PAHJ01,86.83,2718,MAG,2996585
MarDB_GCA_003519765.1_ASM351976v1,76.64,1677,MAG,1682611
MarDB_Aquimarina_sp_AU58_strain_Aquimarina_sp_AU58,99.62,5383,WGS,6185987
ProGenomes_1416752_PRJNA226198,99.49,3529,WGS,3617767
MarDB_Pseudoalteromonas_luteoviolacea_NCIMB_1942,100.0,4835,WGS,5476561
ProGenomes_259564_PRJNA9634,99.35,2616,WGS,2575032
MarDB_Salinicola_halophilus_strain_CECT_5903,98.06,3163,WGS,3615108
MarDB_Chloroflexi_bacterium_strain_SZUA-185,94.47,3498,MAG,3530347
MarDB_Gemmobacter_megaterium_DSM_26375,98.61,4019,WGS,4168088
MarDB_Dietzia_sp_111N12-1,99.41,3560,WGS,3776717
MarDB_Prochlorococcus_marinus_MIT_9302,99.18,1983,WGS,1745344
MarDB_Hyphomonas_sp_T16B2,99.19,3304,WGS,3418698
MarRef_Thermococcus_litoralis_DSM_5473,99.5,2497,WGS,2215173
MarDB_Salinispora_pacifica_CNY202,98.46,4954,WGS,5183059
MarDB_Thiotrichales_bacterium_strain_SZUA-450,79.35,3282,MAG,3039941
MarRef_Muricauda_ruestringensis_DSM_13258,99.34,3478,WGS,3842423
MarDB_Poseidonocella_sedimentorum_strain_KMM_9023_NRIC_0796_JCM_17311_KCTC_23692,98.12,3258,WGS,3555573
MAGsDB_TARA_PSE_MAG_00013,98.24,3186,MAG,3509141
MarRef_Marivirga_tractuosa_DSM_4126,100.0,3810,WGS,4516491
MarDB_GCF_003797885.1_ASM379788v1,99.42,4022,WGS,4722637
MAGsDB_PAUC01,77.69,1224,MAG,1288042
MarDB_Sulfitobacter_noctilucae,99.36,3762,WGS,3914542
MarRef_Flavobacterium_sp_LPB0076,99.65,2663,WGS,3027316
MarDB_Marinosulfonomonas_sp_strain_NORP109,78.42,2929,MAG,2688044
MAGsDB_DKQS01,98.94,2711,MAG,2947786
MarDB_Nitrosomonas_cryotolerans_ATCC_49181,95.91,2479,WGS,2767949
MarRef_Alcaligenes_aquatilis,100.0,3938,WGS,4323879
MarDB_Bacteroidetes_bacterium_strain_Sum29DG08_bin30,93.72,1915,MAG,2373183
MarDB_Actibacterium_mucosum,99.39,3717,WGS,3715338
MarDB_Vibrio_sp_RC586,99.86,3633,WGS,4082592
MarDB_Marinobacter_hydrocarbonoclasticus_strain_STW2,100.0,3933,WGS,4219270
MarDB_Thermoplasmatales_archaeon_SM1-50,94.74,2112,MAG,2091706
MarDB_GCA_003477185.1_ASM347718v1,86.78,3820,MAG,3947179
MarDB_Shewanella_indica_strain_KJW27,99.46,3930,WGS,4402806
MarRef_Kosmotoga_pacifica_strain_SLHLJ1,98.28,2037,WGS,2169171
MarDB_Clostridium_botulinum_Walls_8G,99.31,3708,WGS,4008652
MarDB_GCF_003315245.1_ASM331524v1,98.78,3921,WGS,4440696
MarRef_Oscillibacter_valericigenes_Sjm18-20,98.99,4379,WGS,4470623
MarDB_Thalassobius_gelatinovorus_strain_DSM_5887,99.25,3822,WGS,3957106
